strikeouts,pitcher_first,pitcher_last
6,Phillips Chalier,Valdez
5,Tanner,Houck
4,Nathan Edward,Eovaldi
4,Martin (Jimenez),Perez
3,Gerrit Alan,Cole
3,Eduardo Jose (Hernandez),Rodriguez
3,Ranger Jose,Suarez
2,Austin Robert,Brice
2,Nestor,Cortes
2,Domingo,German
2,Robert Glenn,Ray
2,Garrett Thomas,Richards
2,Yacksel,Rios
2,Cristopher Alexis,Sanchez
2,Joshua Earl,Taylor
1,Jose Antonio (Lizarzabal),Alvarado
1,Matthew Lee,Andriese
1,Kristofer Sime,Bubic
1,Albertin Aroldis (de la Cruz),Chapman
1,Thomas,Hatch
1,Darwinzon David,Hernandez
1,Steven Jakob,Matz
1,Jordan Blackmon,Montgomery
1,Matthew Cody,Moore
1,Adam Robert,Ottavino
1,Nicholas Johncarlo,Pivetta
1,Hyun-Jin,Ryu
1,Tayler Andrew,Saucedo
1,Kirby,Snead
1,Joshua Tyler,Staumont
1,Anthony Ray,Swarzak
1,Jameson Lee,Taillon
1,Justin James,Wilson
0,Scott,Barlow
0,Matthew David,Barnes
0,Connor Michael,Brogdon
0,Enyel,De Los Santos
0,Rafael Jose,Dolis
0,Bailey,Falter
0,Chad Keith,Green
0,John Dale,Hammer
0,Brandon Lee,Kintzler
0,Brooks Joseph,Kriske
0,Patrick Brian,Murphy
0,Trevor,Richards
0,Jordan Robert,Romano
0,Ervin Ramon,Santana
0,Hirokazu,Sawamura
0,Trent Edward,Thornton
0,Vincent John,Velasquez
0,Garrett Getts,Whitlock
0,Brandon Carlin,Workman
