game id*,date,balls*,strikes*,visiting team*,batting team*,res batter*,res batter* Last,res batter* First,res batter hand*,res pitcher*,res pitcher* Last,res pitcher* First,res pitcher hand*,pitch sequence
BOS202107010,2021-07-01,2,2,KCA,away,ohear001,O'Hearn,Ryan Patrick,L,eovan001,Eovaldi,Nathan Edward,R,*BBFCS
BOS202107010,2021-07-01,3,2,KCA,home,renfh001,Renfroe,Dustin Hunter,R,bubik001,Bubic,Kristofer Sime,L,BCBBFC
BOS202107010,2021-07-01,1,2,KCA,home,santd001,Santana,Daniel Ernesto,R,bubik001,Bubic,Kristofer Sime,L,CSFBFFS
BOS202107010,2021-07-01,2,2,KCA,home,wongc001,Wong,Connor Sun-Han,R,bubik001,Bubic,Kristofer Sime,L,CBBCFS
BOS202107010,2021-07-01,0,2,KCA,away,ohear001,O'Hearn,Ryan Patrick,L,eovan001,Eovaldi,Nathan Edward,R,CSS
BOS202107010,2021-07-01,1,2,KCA,away,rives002,Rivero,Sebastian,R,eovan001,Eovaldi,Nathan Edward,R,CBFFS
BOS202107010,2021-07-01,0,2,KCA,home,wongc001,Wong,Connor Sun-Han,R,sante001,Santana,Ervin Ramon,R,CFN.S
BOS202107010,2021-07-01,2,2,KCA,away,santc002,Santana,Carlos,L,eovan001,Eovaldi,Nathan Edward,R,BCBTS
BOS202107010,2021-07-01,1,2,KCA,away,peres002,Perez,Salvador Johan (Diaz),R,eovan001,Eovaldi,Nathan Edward,R,BCFS
BOS202107010,2021-07-01,1,2,KCA,home,renfh001,Renfroe,Dustin Hunter,R,stauj001,Staumont,Joshua Tyler,R,BCCS
BOS202107010,2021-07-01,1,2,KCA,away,rives002,Rivero,Sebastian,R,eovan001,Eovaldi,Nathan Edward,R,FCFBS
BOS202107010,2021-07-01,2,2,KCA,home,santd001,Santana,Daniel Ernesto,L,barls001,Barlow,Scott,R,S*BSFBF*S
BOS202107010,2021-07-01,2,2,KCA,home,verda001,Verdugo,Alex Brady,L,barls001,Barlow,Scott,R,FBCB.*S
BOS202107010,2021-07-01,2,2,KCA,home,martj006,Martinez,Julio Daniel,R,swara001,Swarzak,Anthony Ray,R,.BFBFC
BOS202107010,2021-07-01,3,2,KCA,home,wongc001,Wong,Connor Sun-Han,R,swara001,Swarzak,Anthony Ray,R,C*SFBF*BFBS
BOS202107010,2021-07-01,1,2,KCA,away,peres002,Perez,Salvador Johan (Diaz),R,andrm001,Andriese,Matthew Lee,R,CFBS
BOS202107010,2021-07-01,3,2,KCA,away,rives002,Rivero,Sebastian,R,andrm001,Andriese,Matthew Lee,R,BFBFF*BS
BOS202107090,2021-07-09,0,2,PHI,away,mccua001,McCutchen,Andrew Stefan,R,richg002,Richards,Garrett Thomas,R,CFS
