game_id,batter_id,pitcher_id,balls,strikes,pitch_sequence
1,1,54,2,2,*BBFCS
1,2,55,3,2,BCBBFC
1,3,55,1,2,CSFBFFS
1,4,55,2,2,CBBCFS
1,1,54,0,2,CSS
1,5,54,1,2,CBFFS
1,4,56,0,2,CFN.S
1,6,54,2,2,BCBTS
1,7,54,1,2,BCFS
1,2,57,1,2,BCCS
1,5,54,1,2,FCFBS
1,3,58,2,2,S*BSFBF*S
1,8,58,2,2,FBCB.*S
1,9,59,2,2,.BFBFC
1,4,59,3,2,C*SFBF*BFBS
1,7,60,1,2,CFBS
1,5,60,3,2,BFBFF*BS
2,10,61,0,2,CFS
2,11,61,2,2,CBFFBS
2,12,62,0,2,CCS
2,13,61,3,2,1.BBFSFBS
2,12,62,3,2,CBFFFBBS
2,11,61,1,2,CFBC
2,12,63,0,2,CST
2,14,63,1,2,SBFS
2,9,64,1,2,SSF*BS
2,15,65,1,2,CBFS
2,16,64,2,2,FBSBC
2,10,60,1,2,FFBC
2,17,66,2,2,.BCSFBFS
2,2,66,1,2,CSB*S
2,18,67,2,2,..CFFBBT
2,19,67,1,2,FCBS
2,20,68,2,2,.TBFBC
2,21,68,0,2,CF*S
3,22,69,2,2,BFBCFS
3,23,69,1,2,*BCFS
3,24,69,0,2,FFS
3,20,69,2,2,CFBBC
3,25,70,2,2,B1SBSS
3,12,71,1,2,.CBCFFF*S
3,2,71,3,2,CBBFBS
3,13,72,0,2,SCS
3,25,71,1,2,CBCS
3,13,73,0,2,CSFFS
3,26,74,1,2,.CFBS
3,14,74,0,2,CFF*S
3,18,73,2,2,...BCSBS
3,27,73,3,2,BCFBBC
3,25,75,2,2,CBFBS
4,10,76,1,2,BFF*S
4,19,76,2,2,CCBBC
4,9,77,1,2,BFF*S
4,10,76,2,2,CBBCC
4,15,76,3,2,FBBFFBS
4,12,77,2,2,BBFFS
4,24,65,2,2,BSFBS
4,11,67,0,2,.CSFT
4,14,66,0,2,.CSS
4,13,78,1,2,CSB*S
4,19,79,2,2,CBC>B.C
4,28,80,1,2,CCB1F*S
4,25,80,3,2,BCFBB1S
4,9,80,3,2,BBCFBC
4,12,80,2,2,BCSBFC
5,29,81,1,2,BCFS
5,12,82,2,2,CSBBFF*S
5,30,81,3,2,BCCBBS
5,31,81,0,2,CFFF1S
5,32,81,0,2,CS1C
5,9,82,0,2,FF*S
5,33,81,3,2,CBBBC*S
5,34,81,1,2,CFBS
5,17,82,1,2,BSC*S
5,35,81,1,2,BCF*S
5,2,82,1,2,CFBS
5,32,81,2,2,BFBCC
5,25,82,2,2,CSBB*S
5,26,82,1,2,FSB*S
5,35,83,1,2,BFFS
5,31,83,1,2,S*B1>C.S
5,36,67,1,2,SCBT
5,33,67,1,2,CTBC
5,31,79,2,2,BBCFS
5,28,84,0,2,.SFFC
5,37,85,1,2,CSBF*S
5,9,86,3,2,F*B.BB.FS
6,37,87,0,2,CSS
6,38,88,2,2,CBSBS
6,14,88,3,2,BFBCFB>C
6,39,89,0,2,.CFS
6,32,89,2,2,C*BBCS
6,34,89,1,2,BCFC
6,9,88,0,2,CFC
6,8,88,1,2,CFBS
6,40,89,2,2,1*BCSB11S
6,12,88,3,2,BBFBSC
6,14,88,3,2,S*BBFFB>F>S
6,30,89,3,2,BSBBCFFS
6,29,89,3,2,BCBBLFT
6,41,89,3,2,BC*BBS>S
6,28,88,1,2,CS*BC
6,32,65,0,2,.CS*S
6,25,88,3,2,BSFBBC
6,2,90,1,2,CFBC
6,36,72,2,2,..CFBBS
6,25,90,3,2,..BBFSBS
6,12,90,3,2,BBBCFC
6,29,67,1,2,CBCC
6,36,67,1,2,CFFBFS
6,2,91,1,2,BFFC
7,37,54,1,2,CBFS
7,35,54,0,2,SFFS
7,12,92,1,2,FFBS
7,30,54,0,2,FFS
7,32,54,0,2,CFFC
7,26,92,1,2,BTFS
7,29,54,0,2,CCS
7,37,54,0,2,CS*S
7,30,54,2,2,FCBBS
7,26,92,1,2,SFB*S
7,29,54,1,2,BFFFF*S
7,42,92,1,2,CBFS
7,42,93,2,2,BBFCFS
7,17,93,2,2,C*B*BCS
8,37,69,1,2,BFFS
8,35,69,0,2,CSF*S
8,38,94,2,2,FBSFFFBS
8,30,69,2,2,TBCFBC
8,8,94,1,2,BCFF*S
8,41,69,2,2,CBBSC
8,34,69,2,2,BCF1BC
8,40,69,0,2,CFF*S
8,43,94,1,2,BSSS
8,38,94,0,2,FFS
8,14,94,0,2,CSS
8,43,94,2,2,SBFBC
8,37,83,1,2,.*BS*SS
8,14,94,0,2,SFS
8,9,94,1,2,FFBS
9,38,95,0,2,FFC
9,14,95,3,2,B.BCSFBC
9,44,76,1,2,SBCF*S
9,17,95,1,2,SCBS
9,45,76,0,2,CSF*S
9,46,76,2,2,CFFFFBFBC
9,17,95,1,2,1F*BFS
9,44,89,0,2,.SSS
9,9,96,3,2,BFSBBS
9,47,89,2,2,BBCF*S
9,14,97,1,2,CBCS
9,43,98,0,2,.>S.SFC
10,44,61,3,2,1BCSB1BS
10,26,99,0,2,CFFS
10,17,99,3,2,*BFFFBBFS
10,47,61,0,2,CSS
10,25,99,0,2,SFFS
10,26,99,1,2,S*S*B*S
10,44,65,3,2,CCBF*BB*S
10,17,99,3,2,CSBBBC
10,2,99,3,2,BCBSBFS
10,48,65,1,2,CBFS
10,47,65,2,2,BBFSC
10,42,99,0,2,CST
10,25,99,1,2,SFBS
10,49,68,3,2,CSBFBBFS
10,38,98,0,2,...FF*S
11,49,81,1,2,CSBS
11,50,81,3,2,SSBBBFC
11,51,81,1,2,TSBC
11,48,81,3,2,SBBBFS
11,46,81,2,2,BF1FF>B.FS
11,49,81,1,2,SBSFS
11,12,100,0,2,FCFS
11,44,81,2,2,1SBBCS
11,25,100,3,2,BC*BSBC
11,2,101,1,2,CBFS
11,25,101,0,2,CF*S
11,9,102,1,2,FS*BS
11,52,85,1,2,.C*SBFC
12,49,87,1,2,BFST
12,53,87,1,2,BFFS
12,12,103,2,2,BBCCS
12,50,87,0,2,SSFFS
12,51,87,1,2,FBFT
12,45,87,0,2,SSFF*S
12,43,103,2,2,TCBBT
12,44,87,2,2,SBCBC
12,47,87,1,2,BSFFS
12,9,103,1,2,CBFS
12,46,87,1,2,FLBS
12,43,103,2,2,CBSBS
12,49,68,1,2,SBCS
12,9,103,0,2,CFS
12,49,67,1,2,BCFS
12,8,104,0,2,CFS
12,25,105,2,2,CBFFBC
12,26,105,1,2,BCFFC
12,38,105,1,2,SS.FBC
