date,batter_id,batter_first,batter_last,pitcher_id,pitcher_first,pitcher_last,balls,strikes,pitch_sequence
2021-07-01,1,Ryan Patrick,O'Hearn,54,Nathan Edward,Eovaldi,2,2,*BBFCS
2021-07-01,2,Dustin Hunter,Renfroe,55,Kristofer Sime,Bubic,3,2,BCBBFC
2021-07-01,3,Daniel Ernesto,Santana,55,Kristofer Sime,Bubic,1,2,CSFBFFS
2021-07-01,4,Connor Sun-Han,Wong,55,Kristofer Sime,Bubic,2,2,CBBCFS
2021-07-01,1,Ryan Patrick,O'Hearn,54,Nathan Edward,Eovaldi,0,2,CSS
2021-07-01,5,Sebastian,Rivero,54,Nathan Edward,Eovaldi,1,2,CBFFS
2021-07-01,4,Connor Sun-Han,Wong,56,Ervin Ramon,Santana,0,2,CFN.S
2021-07-01,6,Carlos,Santana,54,Nathan Edward,Eovaldi,2,2,BCBTS
2021-07-01,7,Salvador Johan (Diaz),Perez,54,Nathan Edward,Eovaldi,1,2,BCFS
2021-07-01,2,Dustin Hunter,Renfroe,57,Joshua Tyler,Staumont,1,2,BCCS
2021-07-01,5,Sebastian,Rivero,54,Nathan Edward,Eovaldi,1,2,FCFBS
2021-07-01,3,Daniel Ernesto,Santana,58,Scott,Barlow,2,2,S*BSFBF*S
2021-07-01,8,Alex Brady,Verdugo,58,Scott,Barlow,2,2,FBCB.*S
2021-07-01,9,Julio Daniel,Martinez,59,Anthony Ray,Swarzak,2,2,.BFBFC
2021-07-01,4,Connor Sun-Han,Wong,59,Anthony Ray,Swarzak,3,2,C*SFBF*BFBS
2021-07-01,7,Salvador Johan (Diaz),Perez,60,Matthew Lee,Andriese,1,2,CFBS
2021-07-01,5,Sebastian,Rivero,60,Matthew Lee,Andriese,3,2,BFBFF*BS
2021-07-09,10,Andrew Stefan,McCutchen,61,Garrett Thomas,Richards,0,2,CFS
2021-07-09,11,Bradley Austin,Miller,61,Garrett Thomas,Richards,2,2,CBFFBS
2021-07-09,12,Xander Jan,Bogaerts,62,Vincent John,Velasquez,0,2,CCS
2021-07-09,13,Jacob Tyler,Realmuto,61,Garrett Thomas,Richards,3,2,1.BBFSFBS
2021-07-09,12,Xander Jan,Bogaerts,62,Vincent John,Velasquez,3,2,CBFFFBBS
2021-07-09,11,Bradley Austin,Miller,61,Garrett Thomas,Richards,1,2,CFBC
2021-07-09,12,Xander Jan,Bogaerts,63,Enyel,De Los Santos,0,2,CST
2021-07-09,14,Rafael Calcano,Devers,63,Enyel,De Los Santos,1,2,SBFS
2021-07-09,9,Julio Daniel,Martinez,64,Brandon Lee,Kintzler,1,2,SSF*BS
2021-07-09,15,Mariekson Julius,Gregorius,65,Yacksel,Rios,1,2,CBFS
2021-07-09,16,Christian Israel,Arroyo,64,Brandon Lee,Kintzler,2,2,FBSBC
2021-07-09,10,Andrew Stefan,McCutchen,60,Matthew Lee,Andriese,1,2,FFBC
